countryCode,countryName,elevation,organizationId,organizationName,protocol,siteId,siteName,skyconditionsAltocumulus,skyconditionsAltostratus,skyconditionsBlowingSnow,skyconditionsCirrocumulus,skyconditionsCirrostratus,skyconditionsCirrus,skyconditionsCloudCover,skyconditionsCloudCoverHigh,skyconditionsCloudCoverLow,skyconditionsCloudCoverMid,skyconditionsComments,skyconditionsContrailCoverDeprecated,skyconditionsCumulonimbus,skyconditionsCumulus,skyconditionsDataSource,skyconditionsDownwardCaption,skyconditionsDownwardPhotoUrl,skyconditionsDryGround,skyconditionsDust,skyconditionsEastCaption,skyconditionsEastPhotoUrl,skyconditionsFeature1Caption,skyconditionsFeature1PhotoUrl,skyconditionsFeature2Caption,skyconditionsFeature2PhotoUrl,skyconditionsFeature3Caption,skyconditionsFeature3PhotoUrl,skyconditionsFeature4Caption,skyconditionsFeature4PhotoUrl,skyconditionsFog,skyconditionsGlobeTeams,skyconditionsHaze,skyconditionsHeavyRain,skyconditionsHeavySnow,skyconditionsIsCitizenScience,skyconditionsIsGlobeTrained,skyconditionsLeavesOnTrees,skyconditionsMeasuredAt,skyconditionsMeasurementElevation,skyconditionsMeasurementLatitude,skyconditionsMeasurementLongitude,skyconditionsMuddy,skyconditionsNimbostratus,skyconditionsNonSpreadingContrails,skyconditionsNorthCaption,skyconditionsNorthPhotoUrl,skyconditionsObservationId,skyconditionsOpacityHigh,skyconditionsOpacityLow,skyconditionsOpacityMid,skyconditionsRainingSnowing,skyconditionsSand,skyconditionsShortLivedContrails,skyconditionsSkyClarity,skyconditionsSkyColor,skyconditionsSkyConditionId,skyconditionsSmoke,skyconditionsSnowIce,skyconditionsSolarMeasuredAt,skyconditionsSouthCaption,skyconditionsSouthPhotoUrl,skyconditionsSpray,skyconditionsSpreadingContrails,skyconditionsStandingWater,skyconditionsStratocumulus,skyconditionsStratus,skyconditionsUpwardCaption,skyconditionsUpwardPhotoUrl,skyconditionsUserid,skyconditionsVolcanicAsh,skyconditionsWestCaption,skyconditionsWestPhotoUrl,longitude,latitude
COL,Colombia,1509.5,18069846,Colombia Citizen Science,sky_conditions,412148,18NVM381902,null,null,null,null,null,null,broken,null,broken,null,null,null,null,true,GLOBE Observer App,null,null,true,null,,https://data.globe.gov/system/photos/2026/03/05/4925232/original.jpg,null,null,null,null,null,null,null,null,null,[Udea0311152],null,null,null,true,false,true,2026-03-05T23:28:00,0,6.2441,-75.5589,false,true,0,,https://data.globe.gov/system/photos/2026/03/05/4925230/original.jpg,116-412148-182041988-202603052328,null,opaque,null,false,null,0,null,null,4623652,null,false,2026-03-05T18:12:00,,https://data.globe.gov/system/photos/2026/03/05/4925231/original.jpg,null,0,false,true,null,,https://data.globe.gov/system/photos/2026/03/05/4925234/original.jpg,182041988,null,,https://data.globe.gov/system/photos/2026/03/05/4925233/original.jpg,-75.559568,6.243911
COL,Colombia,1453.9,18069846,Colombia Citizen Science,sky_conditions,400062,18NVM371930,null,null,null,null,null,null,obscured,null,null,null,"La tarde esta muy nublada, no hay visibilidad del sol y el cielo esta muy opaco, la intensidad de las lluvias ha bajado, a comparación de hace 20 minutos.",null,null,null,GLOBE Observer App,,https://data.globe.gov/system/photos/2026/03/05/4924936/original.jpg,false,null,,https://data.globe.gov/system/photos/2026/03/05/4924933/original.jpg,null,null,null,null,null,null,null,null,true,[Udea0311152],null,true,null,true,false,true,2026-03-05T19:58:00,0,6.2695,-75.5682,true,null,null,,https://data.globe.gov/system/photos/2026/03/05/4924931/original.jpg,116-400062-182047116-202603051958,null,null,null,true,null,null,null,null,4623552,null,false,2026-03-05T14:42:00,,https://data.globe.gov/system/photos/2026/03/05/4924932/original.jpg,null,null,true,null,null,,https://data.globe.gov/system/photos/2026/03/05/4924935/original.jpg,182047116,null,,https://data.globe.gov/system/photos/2026/03/05/4924934/original.jpg,-75.568635,6.269229
COL,Colombia,1453.9,18069846,Colombia Citizen Science,sky_conditions,400062,18NVM371930,null,true,null,true,true,true,broken,scattered,broken,scattered,null,null,null,true,GLOBE Observer App,,https://data.globe.gov/system/photos/2026/03/05/4925191/original.jpg,false,null,,https://data.globe.gov/system/photos/2026/03/05/4925188/original.jpg,null,null,null,null,null,null,null,null,null,[Udea0311152],null,null,null,true,false,true,2026-03-05T22:38:00,0,6.2696,-75.5684,false,true,0,,https://data.globe.gov/system/photos/2026/03/05/4925186/original.jpg,116-400062-182119315-202603052238,opaque,opaque,translucent,false,null,0,null,null,4623629,null,false,2026-03-05T17:22:00,,https://data.globe.gov/system/photos/2026/03/05/4925187/original.jpg,null,0,true,null,true,,https://data.globe.gov/system/photos/2026/03/05/4925190/original.jpg,182119315,null,,https://data.globe.gov/system/photos/2026/03/05/4925189/original.jpg,-75.568635,6.269229
COL,Colombia,1452.2,18069846,Colombia Citizen Science,sky_conditions,400548,18NVM370930,true,null,null,null,true,null,broken,isolated,isolated,clear,"Día soleado, con vientos tenues, nubosidad alta con nubes opacas y blancas, el oeste y el sur del horizonte lejano son las partes más nubosas, en ciertos momentos hay una brisa débil.",null,true,true,GLOBE Observer App,,https://data.globe.gov/system/photos/2026/03/05/4924602/original.jpg,true,null,,https://data.globe.gov/system/photos/2026/03/05/4924599/original.jpg,null,null,null,null,null,null,null,null,null,[Udea0311152],null,null,null,true,false,true,2026-03-05T17:45:00,0,6.2696,-75.5687,false,null,0,,https://data.globe.gov/system/photos/2026/03/05/4924597/original.jpg,116-400548-182047116-202603051745,transparent,translucent,translucent,false,null,0,null,null,4623445,null,false,2026-03-05T12:29:00,,https://data.globe.gov/system/photos/2026/03/05/4924598/original.jpg,null,0,false,true,null,,https://data.globe.gov/system/photos/2026/03/05/4924601/original.jpg,182047116,null,,https://data.globe.gov/system/photos/2026/03/05/4924600/original.jpg,-75.569539,6.269228
COL,Colombia,1545.1,18069846,Colombia Citizen Science,sky_conditions,411508,18NVM383898,null,null,null,true,null,true,scattered,clear,scattered,null,null,null,null,true,GLOBE Observer App,null,null,true,null,,https://data.globe.gov/system/photos/2026/03/05/4924582/original.jpg,null,null,null,null,null,null,null,null,null,[Udea0311152],null,null,null,true,false,true,2026-03-05T17:45:00,0,6.2409,-75.5571,false,null,0,,https://data.globe.gov/system/photos/2026/03/05/4924580/original.jpg,116-411508-182041988-202603051745,transparent,opaque,null,false,null,0,clear,blue,4623439,null,false,2026-03-05T12:29:00,,https://data.globe.gov/system/photos/2026/03/05/4924581/original.jpg,null,0,false,true,null,,https://data.globe.gov/system/photos/2026/03/05/4924584/original.jpg,182041988,null,,https://data.globe.gov/system/photos/2026/03/05/4924583/original.jpg,-75.557757,6.240294
COL,Colombia,1525.7,18069846,Colombia Citizen Science,sky_conditions,411527,18NVM383901,null,true,null,null,null,null,broken,null,broken,scattered,null,null,null,true,GLOBE Observer App,null,null,true,null,,https://data.globe.gov/system/photos/2026/03/05/4924328/original.jpg,null,null,null,null,null,null,null,null,null,[Udea0311152],null,null,null,true,false,true,2026-03-05T15:18:00,0,6.2432,-75.5572,false,null,0,,https://data.globe.gov/system/photos/2026/03/05/4924326/original.jpg,116-411527-182041988-202603051518,null,translucent,transparent,false,null,0,null,null,4623380,null,false,2026-03-05T10:02:00,,https://data.globe.gov/system/photos/2026/03/05/4924327/original.jpg,null,0,false,null,null,,https://data.globe.gov/system/photos/2026/03/05/4924330/original.jpg,182041988,null,,https://data.globe.gov/system/photos/2026/03/05/4924329/original.jpg,-75.557759,6.243008
COL,Colombia,1525.7,18069846,Colombia Citizen Science,sky_conditions,411527,18NVM383901,true,null,null,null,true,true,broken,broken,broken,clear,null,null,null,true,GLOBE Observer App,null,null,true,null,,https://data.globe.gov/system/photos/2026/03/05/4924419/original.jpg,null,null,null,null,null,null,null,null,null,[Udea0311152],null,null,null,true,false,true,2026-03-05T17:00:00,0,6.2433,-75.5572,false,null,0,,https://data.globe.gov/system/photos/2026/03/05/4924416/original.jpg,116-411527-182041988-202603051700,transparent,opaque,translucent,false,null,0,null,null,4623405,null,false,2026-03-05T11:44:00,,https://data.globe.gov/system/photos/2026/03/05/4924418/original.jpg,null,0,false,true,null,,https://data.globe.gov/system/photos/2026/03/05/4924422/original.jpg,182041988,null,,https://data.globe.gov/system/photos/2026/03/05/4924421/original.jpg,-75.557759,6.243008
COL,Colombia,1456.0,18069846,Colombia Citizen Science,sky_conditions,400311,18NVM371926,null,true,null,null,null,null,overcast,null,broken,overcast,"Temperatura 18°C
Precipitaciones 40%
Viento 2km/h
Humedad 77%",null,null,null,GLOBE Observer App,,https://data.globe.gov/system/photos/2026/03/04/4923294/original.jpg,true,null,,https://data.globe.gov/system/photos/2026/03/04/4923291/original.jpg,null,null,null,null,null,null,null,null,null,[Udea0311152],null,null,null,true,false,true,2026-03-04T22:32:00,0,6.2662,-75.5679,false,null,0,,https://data.globe.gov/system/photos/2026/03/04/4923289/original.jpg,116-400311-181995590-202603042232,null,opaque,opaque,false,null,0,null,null,4622821,null,false,2026-03-04T17:15:00,,https://data.globe.gov/system/photos/2026/03/04/4923290/original.jpg,null,0,false,true,null,,https://data.globe.gov/system/photos/2026/03/04/4923293/original.jpg,181995590,null,,https://data.globe.gov/system/photos/2026/03/04/4923292/original.jpg,-75.568631,6.265611
COL,Colombia,1452.2,18069846,Colombia Citizen Science,sky_conditions,400548,18NVM370930,null,null,null,null,null,null,none,null,null,null,null,null,null,null,GLOBE Observer App,,https://data.globe.gov/system/photos/2026/03/04/4923609/original.jpg,false,null,,https://data.globe.gov/system/photos/2026/03/04/4923606/original.jpg,null,null,null,null,null,null,null,null,null,[Udea0311152],null,null,null,true,false,true,2026-03-04T23:24:00,0,6.2694,-75.5688,false,null,0,,https://data.globe.gov/system/photos/2026/03/04/4923604/original.jpg,116-400548-182119315-202603042324,null,null,null,false,null,0,extremely hazy,light blue,4622948,null,false,2026-03-04T18:07:00,,https://data.globe.gov/system/photos/2026/03/04/4923605/original.jpg,null,0,false,null,null,,https://data.globe.gov/system/photos/2026/03/04/4923608/original.jpg,182119315,null,,https://data.globe.gov/system/photos/2026/03/04/4923607/original.jpg,-75.569539,6.269228
COL,Colombia,1456.0,18069846,Colombia Citizen Science,sky_conditions,400311,18NVM371926,null,true,null,null,true,null,broken,clear,scattered,scattered,"Las condiciones climáticas dieron un cambio brusco, hace media hora estaba lloviendo, en el momento actual el cielo es más visible, aunque no está completamente despejado, el Sol brilla intensamente",null,null,true,GLOBE Observer App,,https://data.globe.gov/system/photos/2026/03/04/4924596/original.jpg,false,null,,https://data.globe.gov/system/photos/2026/03/04/4924593/original.jpg,null,null,null,null,null,null,null,null,null,[Udea0311152],null,null,null,true,false,true,2026-03-04T20:45:00,0,6.2663,-75.5686,false,null,0,,https://data.globe.gov/system/photos/2026/03/04/4924591/original.jpg,116-400311-182047116-202603042045,opaque,translucent,opaque,true,null,0,null,null,4623443,null,false,2026-03-04T15:28:00,,https://data.globe.gov/system/photos/2026/03/04/4924592/original.jpg,null,0,false,null,true,,https://data.globe.gov/system/photos/2026/03/04/4924595/original.jpg,182047116,null,,https://data.globe.gov/system/photos/2026/03/04/4924594/original.jpg,-75.568631,6.265611
